[2020-09-09 07:43:41 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:43:43 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:46:47 AM] 127.0.0.1 admin accessed file ./Daten/read me.html (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:48:57 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:50:51 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:51:25 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:51:25 AM] 127.0.0.1 admin created dir ./Daten/mydata (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-16 07:59:19 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 07:59:21 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:00:27 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:03:14 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:03:24 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:03:37 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:05:29 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:05:52 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:15:05 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:15:17 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
