[2020-09-09 07:48:09 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:48:28 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:48:40 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-09 07:48:49 AM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36)
[2020-09-16 07:59:50 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:00:02 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:00:10 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:05:39 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:06:15 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:06:35 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:06:35 PM] 127.0.0.1 admin created file ./Daten/capstone.sql (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:07:26 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:08:35 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:08:38 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:14:08 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:14:11 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
[2020-09-16 08:15:12 PM] 127.0.0.1 admin accessed dir ./Daten/ (Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36)
